11/26/2025,,,,105574,,0.000
BINGO STOCK SHEET ,,,,,,
BIN NO,SKU,BATCH,DESCRIPTION,CFC, UOM ,QTY
F20,,,0,,  -   ,0.000
F21,FXC30005SLA,Z14NOV25,0,30,  -   ,0.000
F21,FXC70020SB,Z22NOV25,0,80,  -   ,0.000
F21,FXC70051S,Z21NOV25,0,38,  -   ,0.000
F22,FXC170005S,Z03NOV25,0,240,  -   ,0.000
F23,,,0,,  -   ,0.000
F24,,,0,,  -   ,0.000
F24,,,0,,  -   ,0.000
F25,FXC170005S,Z03NOV25,0,240,  -   ,0.000
F26,FXC170010S,Z03NOV25,0,20,  -   ,0.000
F26,FXC20005SC,Z06NOV25,0,26,  -   ,0.000
F26,FXC60005S,Z14NOV25,0,240,  -   ,0.000
F27,FXC170010S,Z04NOV25,0,221,  -   ,0.000
F27,FXC73010S,Z23OCT25,0,2,  -   ,0.000
F27,,,0,,  -   ,0.000
F28,FXC170010S,Z04NOV25,0,240,  -   ,0.000
F29,FXC50005S,Z25NOV25,0,240,  -   ,0.000
F29,,,0,,  -   ,0.000
F30,FXC50005S,Z25NOV25,0,240,  -   ,0.000
F31,FXC50005S,Z25NOV25,0,240,  -   ,0.000
F32,FXC50005S,Z25NOV25,0,240,  -   ,0.000
F32,,,0,,  -   ,0.000
F32,,,0,,  -   ,0.000
F33,FXC70010S,Z18NOV25,0,270,  -   ,0.000
F34,FXC71010S,Z17NOV25,0,180,  -   ,0.000
F34,,,0,,  -   ,0.000
F35,FXC70020SB,Z21NOV25,0,150,  -   ,0.000
F35,FXC72030SA,Z22SEP25,0,60,  -   ,0.000
F36,FXC70020SB,Z19NOV25,0,60,  -   ,0.000
F36,FXC70051S,Z20NOV25,0,19,  -   ,0.000
F37,FXC71010S,Z17NOV25,0,240,  -   ,0.000
F37,,,0,,  -   ,0.000
F38,FXC170005S,Z18OCT25,0,22,  -   ,0.000
F38,FXC72030SA,Z22SEP25,0,210,  -   ,0.000
F39,FXC20015S,Z07OCT25,0,9,  -   ,0.000
F39,FXC30020SA,Z01NOV25,0,63,  -   ,0.000
F39,FXC70020SB,Z19NOV25,0,30,  -   ,0.000
F39,,,0,,  -   ,0.000
F40,FXC17005S,Z25NOV25,0,202,  -   ,0.000
F40,,,0,,  -   ,0.000
F41,,,0,,  -   ,0.000
F42,,,0,,  -   ,0.000
G01,FXC30005SLA,Z15NOV25,0,90,  -   ,0.000
G02,FXC170005S,Z03NOV25,0,240,  -   ,0.000
G03,FXC73010S,Z21NOV25,0,197,  -   ,0.000
G04,FXC70010S,Z13NOV25,0,15,  -   ,0.000
G04,,,0,,  -   ,0.000
G04,,,0,,  -   ,0.000
G05,,,0,,  -   ,0.000
G06,FXC70010S,Z22NOV25,0,260,  -   ,0.000
G06,,,0,,  -   ,0.000
G07,FXC70010S,Z17NOV25,0,176,  -   ,0.000
G07,,,0,,  -   ,0.000
G08,FXC71010S,Z22NOV25,0,240,  -   ,0.000
G09,FXC70010S,Z22NOV25,0,30,  -   ,0.000
G09,FXC71010S,Z22NOV25,0,190,  -   ,0.000
G10,FXC10005SLA,Z05NOV25,0,240,  -   ,0.000
G10,FXC170005S,Z03NOV25,0,54,  -   ,0.000
G11,FXC10010SA,Z24OCT25,0,138,  -   ,0.000
G11,FXC20005SC,Z05NOV25,0,1,  -   ,0.000
G12,FXC70020SB,Z20NOV25,0,240,  -   ,0.000
G12,,,0,,  -   ,0.000
G13,FXC17005S,Z25NOV25,0,240,  -   ,0.000
G14,FXC170005S,Z03NOV25,0,240,  -   ,0.000
G15,FXC71020SA,Z17NOV25,0,102,  -   ,0.000
G15,FXC74010S,Z13NOV25,0,109,  -   ,0.000
G15,,,0,,  -   ,0.000
G16,FXC10005SLA,Z05NOV25,0,240,  -   ,0.000
G17,FXC10005SLA,Z05NOV25,0,240,  -   ,0.000
G18,FXC20005SC,Z06NOV25,0,240,  -   ,0.000
G19,,,0,,  -   ,0.000
G20,,,0,,  -   ,0.000
G21,FXC70020SB,Z20NOV25,0,215,  -   ,0.000
G22,FXC70010S,Z22NOV25,0,240,  -   ,0.000
G23,FXC71010S,Z17NOV25,0,210,  -   ,0.000
G24,FXC40020S,Z14NOV25,0,240,  -   ,0.000
G25,FXC75020SA,Z10NOV25,0,240,  -   ,0.000
G26,FXC74010S,Z13NOV25,0,103,  -   ,0.000
G26,FXC75020SA,Z10NOV25,0,122,  -   ,0.000
G27,FXC70020SB,Z20NOV25,0,240,  -   ,0.000
G28,FXC170005S,Z25NOV25,0,240,  -   ,0.000
G29,FXC170005S,Z25NOV25,0,240,  -   ,0.000
G30,FXC10005SLA,Z25OCT25,0,180,  -   ,0.000
G30,FXC10010SA,Z24OCT25,0,60,  -   ,0.000
G30,,,0,,  -   ,0.000
G30,,,0,,  -   ,0.000
G31,FXC73010S,Z21NOV25,0,240,  -   ,0.000
G31,,,0,,  -   ,0.000
G32,FXC73010S,Z21NOV25,0,240,  -   ,0.000
G32,,,0,,  -   ,0.000
G32,,,0,,  -   ,0.000
